Hartgerink,,,,
,lower.limit,binomial.bias.lower,binomial.bias.higher,binomial.bias.p
1,0.03,13156,11503,6.69E-26
2,0.04,2692,7298,4.94065645841247e-324
,,P,0.730530531,
Head,,,,
,lower.limit,binomial.bias.lower,binomial.bias.higher,binomial.bias.p
1,0.03,13205,11518,7.61E-27
2,0.04,2590,3120,2.46E-12
,,P,0.546409807,
