Hartgerink,,,,
,lower.limit,binomial.bias.lower,binomial.bias.higher,binomial.bias.p
1,0.03,4347,3774,2.15E-10
2,0.04,829,1897,2.69E-95
Head,,,,
,lower.limit,binomial.bias.lower,binomial.bias.higher,binomial.bias.p
1,0.03,4312,3710,1.90E-11
2,0.04,830,962,0.00196269
